#PT eta phi vx vy vz charge
3.03969 -0.857064 -0.711582 0.0014182 0.000325948 12.4 1
67.8346 0.0374082 -0.739726 -0.00213289 -0.000130152 -10.7802 1
2.04114 0.139422 -0.583346 -0.00104673 0.000201155 -10.6933 1
4.73839 -0.83136 -0.945898 0.000772459 0.000179886 12.0644 1
2.69222 -0.809175 -0.699599 0.00112625 -0.000395724 10.3771 -1
2.47865 0.168027 -0.822234 -0.00118731 0.000278446 -11.6427 1
6.99957 -0.819838 -0.897889 -0.000923763 -0.000533236 11.071 1
3.37626 -0.895448 -0.914558 0.00173984 -0.000261644 12.6891 -1
3.37799 -0.78687 -0.801156 -0.00218963 0.000233298 10.9744 1
5.31016 0.188641 -0.708146 0.000554511 0.000236216 -13.3218 -1
3.27268 0.204513 -0.668344 0.00286565 0.000469293 -12.2115 -1
3.07532 -0.875156 -0.749128 0.00157873 -0.0010386 11.4434 1
4.83564 -0.830447 -1.01201 0.00314929 -0.000721299 10.501 -1
6.42067 0.110891 -0.819488 -0.00429273 -0.000514633 -12.2029 1
3.61192 0.059022 -0.933699 -0.00279244 -0.000343478 -10.3558 1
3.0362 0.0556292 -0.705397 -0.00300123 -0.000256963 -10.0625 -1
2.02828 0.309828 -0.761669 -0.00290731 -3.31082e-05 -14.914 1
3.16301 0.0958357 -0.825629 -0.000600236 -0.000147397 -12.3609 1
2.63974 -0.929324 -0.662913 -0.00386696 -0.000402189 14.1824 -1
3.28137 0.0457555 -1.01588 -0.00250728 0.000907206 -10.6915 -1
2.6771 0.220058 -0.927308 -0.00269131 0.0011637 -13.7695 -1
3.07732 0.116309 -0.688714 -0.000584175 -4.14744e-05 -10.9498 -1
5.56431 0.112811 -0.753835 -0.00345645 -0.00126929 -12.8583 1
5.80661 -0.816625 -0.78962 0.00327697 -6.85719e-05 12.4682 -1
18.3142 -0.741927 -0.710007 0.00125612 0.000971686 10.0887 1
6.08271 0.144169 -0.947211 -0.00349078 -0.000296185 -13.1225 1
2.65951 0.184043 -0.734536 -0.00140003 0.000164253 -13.2397 1
2.38854 0.160291 -0.768022 -0.000963432 -0.000376734 -11.8967 -1
3.40615 0.179675 -0.83686 -0.00134376 -0.000697225 -11.2431 -1
4.4681 -0.0130242 -0.909687 -0.00152222 0.000171968 -10.2889 -1
74.6074 -0.849485 -0.840884 0.00249784 5.70781e-05 10.7386 1
118.683 0.0782885 -0.931508 -0.00208487 -0.000467674 -12.225 1
2.5113 0.0528571 -0.832989 -0.000325279 0.000211294 -10.7943 1
2.28075 0.118427 -1.01545 -6.49384e-05 -9.26187e-05 -13.1309 -1
3.66323 0.201275 -0.895335 -0.00162356 -0.000308127 -11.4209 1
3.90385 0.0411449 -0.674278 -0.000855238 -0.000377794 -10.6411 1
6.40994 -0.787121 -0.754402 -0.000634898 0.000812273 10.82 1
8.01572 -0.766143 -0.615663 0.00208112 -0.00117129 11.0169 -1
2.80464 0.0630916 -0.906707 0.00121011 0.000352194 -11.3214 1
5.53287 -0.779648 -0.726727 -0.00166917 -0.00137186 10.1653 1
2.11565 -0.731856 -0.727735 0.00245003 0.00150151 10.308 1
2.70929 -0.837951 -0.78237 0.0028166 0.000741174 11.7259 -1
4.61509 0.255774 -0.737748 -0.00315709 -0.000559599 -13.8798 -1
4.34461 0.150211 -0.797951 -0.00260477 -0.000565667 -13.5572 -1
2.35596 0.147086 -0.588734 0.000878393 7.26681e-05 -11.0785 1
2.64257 0.122259 -0.674718 -0.00126198 -8.43516e-05 -10.2051 1
4.73898 -0.764459 -0.907441 0.00236355 0.000242357 11.0159 -1
5.61455 0.155455 -0.749547 0.00182741 -0.000896651 -12.9362 1
9.17974 0.290582 -0.621555 -0.00439059 0.000654966 -14.424 1
2.60047 0.0713456 -1.00948 0.000178026 -0.000207989 -10.5763 -1
4.07237 -0.817059 -0.835677 0.00312952 0.000211052 12.1822 -1
2.5334 -0.820128 -0.75933 0.00189355 0.000877819 10.0921 -1
2.0166 0.0296868 -0.711945 0.00149115 0.000929359 -10.1205 1
2.43845 0.182905 -0.715671 -0.00221833 0.000599899 -12.1626 -1
2.99669 0.12533 -0.762086 0.000870364 -0.000577422 -12.6826 -1
17.2143 -0.839963 -0.856161 0.00294516 0.000417972 10.1691 1
2.41549 -0.818885 -0.712622 -0.00031172 0.00104917 11.159 1
2.16799 -0.791422 -0.730267 0.00286975 -3.48973e-06 10.7116 -1
9.28255 0.0747488 -0.836541 -0.000302684 -0.000539427 -10.2742 -1
2.5681 0.155389 -0.896511 0.00295958 -0.00169264 -10.4066 -1
2.0255 0.12881 -0.742425 -0.00339715 0.000359278 -10.8035 -1
2.57603 -0.00511236 -0.8814 -4.6926e-05 -0.000817659 -10.1099 -1
4.02129 -0.898513 -0.840841 -0.000159123 -0.000327949 13.1676 -1
4.24174 -0.7815 -0.955919 0.000437813 -0.00101623 10.1208 -1
2.15743 -0.854832 -0.810297 0.00222284 0.000675606 11.3541 -1
22.0889 0.16619 -0.741176 -0.000232208 -0.000609157 -10.6516 -1
2.60713 0.165903 -0.704074 -0.00114111 -0.00010892 -10.8739 1
30.2272 -0.833564 -0.96346 0.00375388 -0.00058271 11.8993 1
8.44965 -0.751466 -0.957094 0.00128444 0.00134021 10.1193 -1
32.5216 -0.899032 -0.742619 0.00157658 0.000523911 13.8871 1
3.30437 0.0989722 -0.974076 -0.000777064 -0.000891478 -10.8778 -1
5.4129 0.0918008 -0.769507 -0.00140147 -0.000503623 -10.1673 1
7.75767 -0.833756 -0.985162 0.000995436 -0.000553217 10.0225 1
54.518 -0.797136 -0.699356 -0.000713754 -0.00104506 10.8497 -1
4.38166 0.175334 -0.80353 0.00198487 0.000678704 -13.9389 1
2.01461 0.149695 -0.728966 -0.000749105 -0.000268846 -11.4073 1
14.1746 -0.806645 -0.71717 -0.000951634 -0.000365405 11.3044 1
17.7562 -0.834515 -0.905925 0.0028389 -0.000938383 11.8387 -1
2.57016 -0.811763 -0.60032 -0.000520097 0.000773164 10.3443 1
2.77991 0.059737 -0.770437 0.000839368 0.00036817 -11.3443 1
3.86712 0.0985376 -0.842067 0.00322239 0.000412814 -11.6811 1
88.1104 0.262398 -0.800555 -0.000188517 -0.000260228 -14.0389 -1
2.25873 -0.744518 -0.563887 -0.000276537 0.000582281 10.3387 1
6.4708 0.0743534 -0.792996 0.00034598 0.000610065 -11.0952 1
2.38557 -0.797181 -0.740674 0.00174311 0.00113993 10.3025 1
2.95222 -0.83516 -0.77437 0.0017666 0.000345952 10.4253 -1
36.9244 0.243969 -0.659967 -0.00315935 7.54773e-05 -13.1347 1
5.01025 0.075529 -0.857122 -0.00141273 -0.00143483 -10.7769 1
4.48494 -0.715754 -0.739851 0.000829449 -0.000781361 10.4805 -1
2.41891 0.135845 -0.662518 0.00160699 -4.91712e-05 -10.1061 1
2.07199 -0.799066 -0.915251 0.000876601 9.87736e-05 10.8483 -1
2.74761 0.125745 -0.833972 -0.00315387 0.000689051 -10.2142 1
6.82527 0.15569 -0.743704 -0.00240838 -0.000999268 -10.4509 1
2.4795 0.0906687 -0.85608 -0.00225457 -0.000349538 -10.3538 -1
2.62646 0.10334 -0.864667 -0.0025436 0.000248126 -11.3128 -1
2.89014 0.0958494 -0.614195 0.000929393 -0.000391392 -11.1131 1
3.47053 0.263941 -0.731101 -0.00119342 0.000153993 -13.9218 1
2.45516 -0.834894 -0.68141 0.00223821 -0.000725869 10.7351 -1
8.91779 -0.858637 -0.680354 -0.00044648 0.00076808 11.3256 1
17.7686 0.202913 -0.922582 0.00171411 -0.000410164 -11.5981 -1
5.99984 -0.00115499 -0.687284 0.000850085 0.000919684 -10.1666 -1
3.20325 0.0703005 -0.807351 -0.00248428 -0.000987984 -10.2996 1
4.55223 0.0368734 -0.65837 -0.000401755 0.000507542 -10.6516 1
6.68465 -0.903288 -0.557372 -0.00125478 -0.000692149 13.1795 1
15.4314 0.0488165 -0.773631 -0.000969149 0.0015774 -10.1078 1
6.48028 0.209623 -0.791912 -0.00120392 0.000207628 -11.6158 -1
2.14412 -0.841054 -0.539346 -0.00125005 0.000700057 13.2244 1
3.03069 -0.82177 -0.80057 -0.00217938 0.000321739 10.3066 1
6.43603 0.132947 -0.902127 -7.24353e-06 -0.0002289 -13.0297 -1
2.0167 0.0961856 -0.823236 -0.000384244 0.001198 -10.9322 1
13.3811 -0.799753 -0.84265 -0.00140787 -0.000736153 11.567 -1
10.9793 -0.794144 -0.739038 0.00179084 -0.000619375 10.1651 -1
2.52854 -0.773639 -1.02218 -0.000322734 0.000784008 10.995 -1
2.02386 0.0527284 -0.906097 -0.00118386 0.000180718 -10.5767 -1
12.2481 -0.842299 -0.713255 0.00212222 -4.57816e-05 12.5489 1
5.04352 0.168463 -0.801519 0.000228054 -0.000256464 -11.7639 1
3.21137 0.0759092 -0.804942 0.00287896 -0.000609181 -10.3538 -1
2.91051 -0.812836 -0.73491 0.00112446 -0.000405497 12.2591 -1
4.02675 -0.848041 -0.904001 3.61729e-05 0.00144105 10.9452 1
3.92369 0.134383 -0.708828 -0.00161085 0.00288252 -12.416 -1
6.63119 -0.818244 -0.736892 0.00213747 -0.000218968 11.4037 1
5.59162 0.277621 -0.596742 -0.00440515 0.000145298 -13.9136 1
6.21561 -0.78785 -0.681164 0.00149408 0.000226422 11.5642 -1
7.91673 -0.842613 -0.988018 -0.000660545 0.000683217 11.3285 -1
3.11552 0.0215861 -0.748731 -0.00172753 0.00127799 -10.7135 1
4.69109 -0.800821 -0.927507 0.000771874 -0.000942755 10.7764 -1
4.29248 0.0589685 -0.767246 -0.00289526 1.28588e-05 -11.762 -1
2.65979 -0.832362 -0.8985 0.00205513 -0.000486749 11.4608 1
2.13169 0.301968 -0.752165 -0.000957479 -0.00031344 -13.8576 1
6.95347 0.0936613 -0.804705 0.000135501 0.000562868 -11.1054 1
2.0099 0.0854241 -0.887957 0.00152137 0.000421603 -10.4548 1
5.76976 -0.875524 -0.779491 0.000743818 -9.60494e-05 13.6714 -1
8.70692 -0.929395 -0.915528 -0.00310662 -0.00102989 14.7398 -1
5.66326 -0.774173 -0.619752 0.000961552 -0.000485654 11.0121 1
2.30699 0.210156 -0.945379 -0.00123149 0.00121546 -11.6647 -1
6.2364 0.109465 -0.919516 0.00215578 -0.00105963 -11.2375 1
55.9279 0.197584 -0.772403 7.13465e-05 0.000794874 -11.8333 -1
2.11728 0.171375 -0.949607 0.00101982 0.00011728 -12.1886 -1
2.45664 -0.838897 -0.57375 0.00102617 -0.000186556 12.7507 1
2.57412 -0.729605 -0.820098 0.00183624 -0.00157886 10.2151 -1
15.4878 0.195463 -0.859576 -0.00171424 -0.000891975 -11.1497 -1
