#PT eta phi vx vy vz charge
2.38748 0.540428 0.966751 0.000294061 0.000404231 1.87606 1
12.4048 0.512997 0.833669 -0.000556816 -3.92144e-05 -2.13329 1
2.01438 0.0270263 1.21636 -0.00115175 -0.000190756 -0.617431 1
2.13627 0.50851 1.12749 0.00132538 0.000856817 5.36036 -1
2.00628 0.206392 1.26686 -0.00160437 0.000144085 3.0584 1
2.60154 0.140328 1.03216 -0.0016514 -0.000225322 -4.42935 -1
4.724 0.503084 1.27305 -0.00129248 -0.00065929 -0.319521 -1
7.897 0.258571 1.56474 -0.000686531 0.000441177 -2.7246 -1
5.85622 0.53554 1.33573 -0.0019871 0.000201867 -6.56353 1
