#PT eta phi vx vy vz charge
14.2568 0.919741 1.03567 -0.00259604 -4.31339e-05 8.05739 1
11.5297 1.08075 1.0616 0.000794191 0.00104232 4.85101 1
218.469 1.09153 1.26368 0.0041289 -0.000320964 6.40864 1
3.93707 1.11036 1.0208 -0.000844679 -0.000463374 0.994815 -1
3.46609 0.901462 0.975684 0.00185104 -0.000978425 8.79576 1
6.94734 0.967048 1.30728 -0.00132847 5.0035e-05 1.06684 1
27.1765 1.13596 0.88931 -0.00127025 -5.50421e-05 1.2624 -1
8.22485 0.97787 1.51138 0.000700185 0.000174005 -6.06225 1
6.02525 1.15015 1.55762 -0.00140656 -0.000136741 -3.54498 1
5.59725 1.08033 1.26307 0.00236071 -0.000531395 4.19942 -1
