#PT eta phi vx vy vz charge
13.442 0.616995 0.916809 0.00014061 0.000666563 -0.749074 1
3.64372 0.273386 1.22801 0.00102603 -0.000468662 7.38988 -1
19.3108 0.744524 1.13754 0.00108115 0.00132849 -1.95492 -1
5.00349 0.234038 1.26372 -0.00081935 -0.000591848 -1.05352 1
3.66238 0.408191 1.42522 -0.000561471 -0.000916635 -3.09135 -1
3.63446 0.466144 1.13459 0.000703482 0.000530652 2.73484 -1
326.735 0.581204 1.05309 -0.00033349 0.000602596 3.38579 1
445.028 0.485843 0.997689 -0.0013361 -0.000491578 0.570251 -1
3.26105 0.394145 0.892809 -0.00115696 0.000128646 2.21625 1
12.9041 0.66904 1.37104 0.000417743 5.85803e-05 -4.49556 -1
