tt/I,layer/I,phimin/D,phimax/D,zmin_cm/D,zmax_cm/D
13,19,0.582610,2.748894,67.2072,110.0950
13,20,0.582610,2.748894,83.9403,110.0950
13,21,0.582610,2.748894,100.0545,110.0950
14,5,2.920624,-2.135226,-57.1505,-10.6603
14,6,3.001970,-2.224351,-83.2020,-19.7419
14,7,3.048221,-2.309022,-115.0000,-31.5520
14,8,3.073467,-2.288069,-116.9460,-48.8934
14,9,2.987867,-2.279647,-116.9460,-68.3777
14,10,2.933305,-2.190035,-116.9460,-77.4214
14,18,1.368008,-2.748894,60.2304,110.0950
14,19,1.368008,-2.748894,67.2072,110.0950
14,20,1.368008,-2.748894,83.9403,110.0950
14,21,1.368008,-2.748894,100.0545,110.0950
15,5,-2.577163,-1.349827,-57.1505,-10.6603
15,6,-2.488038,-1.431173,-83.2020,-19.7419
15,7,-2.495765,-1.381178,-115.0000,-31.5520
15,8,-2.424320,-1.502671,-116.9460,-48.8934
15,9,-2.484585,-1.468914,-116.9460,-68.3777
15,10,-2.523145,-1.363300,-116.9460,-77.4214
15,18,2.153406,-1.963495,60.2304,110.0950
15,19,2.153406,-1.963495,67.2072,110.0950
15,20,2.153406,-1.963495,83.9403,110.0950
15,21,2.153406,-1.963495,100.0545,110.0950
16,5,-1.791765,-0.564430,-26.9838,6.7078
16,6,-1.710419,-0.653554,-36.7083,6.7748
16,7,-1.756567,-0.641981,-48.6271,8.1939
16,8,-1.638922,-0.717273,-68.2125,10.4742
16,9,-1.673851,-0.658179,-78.4277,10.4742
16,10,-1.778293,-0.618448,-97.7617,0.5182
17,5,-1.006367,0.220969,-26.9838,6.7078
17,6,-0.917242,0.139623,-36.7083,6.7748
17,7,-0.836416,0.097218,-48.6271,8.1939
17,8,-0.853524,0.068125,-68.2125,10.4742
17,9,-0.963287,0.152554,-78.4277,10.4742
17,10,-0.951558,0.208287,-97.7617,0.5182
18,5,-0.220969,1.006367,-26.9838,6.7078
18,6,-0.139623,0.917242,-36.7083,6.7748
18,7,-0.097218,0.836416,-48.6271,8.1939
18,8,-0.068125,0.853524,-68.2125,10.4742
18,9,-0.152554,0.963287,-78.4277,10.4742
18,10,-0.208287,0.951558,-97.7617,0.5182
19,5,0.564430,1.791765,-26.9838,6.7078
19,6,0.653554,1.710419,-36.7083,6.7748
19,7,0.641981,1.756567,-48.6271,8.1939
19,8,0.717273,1.638922,-68.2125,10.4742
19,9,0.658179,1.673851,-78.4277,10.4742
19,10,0.618448,1.778293,-97.7617,0.5182
20,5,1.349827,2.577163,-26.9838,6.7078
20,6,1.431173,2.488038,-36.7083,6.7748
20,7,1.381178,2.495765,-48.6271,8.1939
20,8,1.502671,2.424320,-68.2125,10.4742
20,9,1.468914,2.484585,-78.4277,10.4742
20,10,1.363300,2.523145,-97.7617,0.5182
21,5,2.135226,-2.920624,-26.9838,6.7078
21,6,2.224351,-3.001970,-36.7083,6.7748
21,7,2.309022,-3.048221,-48.6271,8.1939
21,8,2.288069,-3.073467,-68.2125,10.4742
21,9,2.279647,-2.987867,-78.4277,10.4742
21,10,2.190035,-2.933305,-97.7617,0.5182
22,5,2.920624,-2.135226,-26.9838,6.7078
22,6,3.001970,-2.224351,-36.7083,6.7748
22,7,3.048221,-2.309022,-48.6271,8.1939
22,8,3.073467,-2.288069,-68.2125,10.4742
22,9,2.987867,-2.279647,-78.4277,10.4742
22,10,2.933305,-2.190035,-97.7617,0.5182
23,5,-2.577163,-1.349827,-26.9838,6.7078
23,6,-2.488038,-1.431173,-36.7083,6.7748
23,7,-2.495765,-1.381178,-48.6271,8.1939
23,8,-2.424320,-1.502671,-68.2125,10.4742
23,9,-2.484585,-1.468914,-78.4277,10.4742
23,10,-2.523145,-1.363300,-97.7617,0.5182
24,5,-1.791765,-0.564430,-6.7127,26.9799
24,6,-1.710419,-0.653554,-6.7797,36.7048
24,7,-1.756567,-0.641981,-5.2542,47.7511
24,8,-1.638922,-0.717273,-9.5318,59.4103
24,9,-1.673851,-0.658179,-9.5318,78.7372
24,10,-1.778293,-0.618448,-9.5318,88.9935
25,5,-1.006367,0.220969,-6.7127,26.9799
25,6,-0.917242,0.139623,-6.7797,36.7048
25,7,-0.836416,0.097218,-5.2542,47.7511
25,8,-0.853524,0.068125,-9.5318,59.4103
25,9,-0.963287,0.152554,-9.5318,78.7372
25,10,-0.951558,0.208287,-9.5318,88.9935
26,5,-0.220969,1.006367,-6.7127,26.9799
26,6,-0.139623,0.917242,-6.7797,36.7048
26,7,-0.097218,0.836416,-5.2542,47.7511
26,8,-0.068125,0.853524,-9.5318,59.4103
26,9,-0.152554,0.963287,-9.5318,78.7372
26,10,-0.208287,0.951558,-9.5318,88.9935
27,5,0.564430,1.791765,-6.7127,26.9799
27,6,0.653554,1.710419,-6.7797,36.7048
27,7,0.641981,1.756567,-5.2542,47.7511
27,8,0.717273,1.638922,-9.5318,59.4103
27,9,0.658179,1.673851,-9.5318,78.7372
27,10,0.618448,1.778293,-9.5318,88.9935
28,5,1.349827,2.577163,-6.7127,26.9799
28,6,1.431173,2.488038,-6.7797,36.7048
28,7,1.381178,2.495765,-5.2542,47.7511
28,8,1.502671,2.424320,-9.5318,59.4103
28,9,1.468914,2.484585,-9.5318,78.7372
28,10,1.363300,2.523145,-9.5318,88.9935
29,5,2.135226,-2.920624,-6.7127,26.9799
29,6,2.224351,-3.001970,-6.7797,36.7048
29,7,2.309022,-3.048221,-5.2542,47.7511
29,8,2.288069,-3.073467,-9.5318,59.4103
29,9,2.279647,-2.987867,-9.5318,78.7372
29,10,2.190035,-2.933305,-9.5318,88.9935
30,5,2.920624,-2.135226,-6.7127,26.9799
30,6,3.001970,-2.224351,-6.7797,36.7048
30,7,3.048221,-2.309022,-5.2542,47.7511
30,8,3.073467,-2.288069,-9.5318,59.4103
30,9,2.987867,-2.279647,-9.5318,78.7372
30,10,2.933305,-2.190035,-9.5318,88.9935
31,5,-2.577163,-1.349827,-6.7127,26.9799
31,6,-2.488038,-1.431173,-6.7797,36.7048
31,7,-2.495765,-1.381178,-5.2542,47.7511
